ID,SPKID,FULL NAME,NAME,NEO,PHA,MAG,DIAMETER
a0000460,2000460,460 Scania (1900 FN),Scania,N,N,10.8,19.689
a0000461,2000461,461 Saskia (1900 FP),Saskia,N,N,10.5,43.603
a0000462,2000462,462 Eriphyla (1900 FQ),Eriphyla,N,N,9.4,34.274
a0000463,2000463,463 Lola (1900 FS),Lola,N,N,11.7,20.908
a0000464,2000464,464 Megaira (1901 FV),Megaira,N,N,9.7,77.056
a0000465,2000465,465 Alekto (1901 FW),Alekto,N,N,9.8,73.34
a0000466,2000466,466 Tisiphone (1901 FX),Tisiphone,N,N,8.5,95.495
a0000467,2000467,467 Laura (1901 FY),Laura,N,N,10.8,39.471
a0000468,2000468,468 Lina (1901 FZ),Lina,N,N,9.7,60.238
a0000469,2000469,469 Argentina (1901 GE),Argentina,N,N,8.7,133.718
a0000470,2000470,470 Kilia (1901 GJ),Kilia,N,N,10,27.75
a0000471,2000471,471 Papagena (1901 GN),Papagena,N,N,6.6,148.128
a0000472,2000472,472 Roma (1901 GP),Roma,N,N,8.9,50.278
a0000473,2000473,473 Nolli (1901 GC),Nolli,N,N,11.7,12.394
a0000474,2000474,474 Prudentia (1901 GD),Prudentia,N,N,10.9,40.972
a0000475,2000475,475 Ocllo (1901 HN),Ocllo,N,N,11.5,17.83
a0000476,2000476,476 Hedwig (1901 GQ),Hedwig,N,N,8.6,138.493
a0000477,2000477,477 Italia (1901 GR),Italia,N,N,10.3,22.988
a0000478,2000478,478 Tergeste (1901 GU),Tergeste,N,N,8,80.738
a0000479,2000479,479 Caprera (1901 HJ),Caprera,N,N,9.8,60.088
a0000480,2000480,480 Hansa (1901 GL),Hansa,N,N,8.3,56.22
a0000481,2000481,481 Emita (1902 HP),Emita,N,N,8.9,101.829
a0000482,2000482,482 Petrina (1902 HT),Petrina,N,N,8.9,45.751
a0000483,2000483,483 Seppina (1902 HU),Seppina,N,N,8.3,66.858
a0000484,2000484,484 Pittsburghia (1902 HX),Pittsburghia,N,N,9.8,30.06
a0000485,2000485,485 Genua (1902 HZ),Genua,N,N,8.3,63.88
a0000486,2000486,486 Cremona (1902 JB),Cremona,N,N,11.1,22.781
a0000487,2000487,487 Venetia (1902 JL),Venetia,N,N,8.3,59.046
a0000488,2000488,488 Kreusa (1902 JG),Kreusa,N,N,8,168.117
a0000489,2000489,489 Comacina (1902 JM),Comacina,N,N,8.4,139.39
a0000490,2000490,490 Veritas (1902 JP),Veritas,N,N,8.6,118.803
a0000491,2000491,491 Carina (1902 JQ),Carina,N,N,9.1,91.176
a0000492,2000492,492 Gismonda (1902 JR),Gismonda,N,N,10,53.418
a0000493,2000493,493 Griseldis (1902 JS),Griseldis,N,N,10.8,41.55
a0000494,2000494,494 Virtus (1902 JV),Virtus,N,N,9.1,100.786
a0000495,2000495,495 Eulalia (1902 KG),Eulalia,N,N,11,37.287
a0000496,2000496,496 Gryphia (1902 KH),Gryphia,N,N,11.8,14.403
a0000497,2000497,497 Iva (1902 KJ),Iva,N,N,9.9,40.932
a0000498,2000498,498 Tokio (1902 KU),Tokio,N,N,8.9,81.83
a0000499,2000499,499 Venusia (1902 KX),Venusia,N,N,9.5,77.328
a0000500,2000500,500 Selinur (1903 LA),Selinur,N,N,9.3,40.828
a0000501,2000501,501 Urhixidur (1903 LB),Urhixidur,N,N,9.4,74.457
a0000502,2000502,502 Sigune (1903 LC),Sigune,N,N,10.8,15.805
a0000503,2000503,503 Evelyn (1903 LF),Evelyn,N,N,9.3,81.68
a0000504,2000504,504 Cora (1902 LK),Cora,N,N,10,30.438
a0000505,2000505,505 Cava (1902 LL),Cava,N,N,8.6,115
a0000506,2000506,506 Marion (1903 LN),Marion,N,N,8.9,105.94
