ID,BST_Depth,AVL_Depth,Splay_Depth
Row 400,401,10,2
Row 401,402,9,3
Row 402,403,10,2
Row 403,404,8,6
Row 404,405,10,3
Row 405,406,9,4
Row 406,407,10,2
Row 407,408,7,4
Row 408,409,10,2
Row 409,410,9,3
Row 410,411,10,2
Row 411,412,8,6
Row 412,413,10,3
Row 413,414,9,4
Row 414,415,10,2
Row 415,416,5,4
Row 416,417,10,2
Row 417,418,9,3
Row 418,419,10,2
Row 419,420,8,5
Row 420,421,10,3
Row 421,422,9,4
Row 422,423,10,2
Row 423,424,7,4
Row 424,425,10,2
Row 425,426,9,3
Row 426,427,10,2
Row 427,428,8,7
Row 428,429,10,4
Row 429,430,9,4
Row 430,431,10,2
Row 431,432,6,4
Row 432,433,10,2
Row 433,434,9,3
Row 434,435,10,2
Row 435,436,8,6
Row 436,437,10,3
Row 437,438,9,4
Row 438,439,10,2
Row 439,440,7,4
Row 440,441,10,2
Row 441,442,9,3
Row 442,443,10,2
Row 443,444,8,6
Row 444,445,10,3
Row 445,446,9,4
Row 446,447,10,2
Row 447,448,4,4
Row 448,449,10,2
Row 449,450,9,3
Row 450,451,10,2
Row 451,452,8,5
Row 452,453,10,3
Row 453,454,9,4
Row 454,455,10,2
Row 455,456,7,4
Row 456,457,10,2
Row 457,458,9,3
Row 458,459,10,2
Row 459,460,8,9
Row 460,461,10,5
Row 461,462,9,5
Row 462,463,10,3
Row 463,464,6,5
Row 464,465,10,3
Row 465,466,9,4
Row 466,467,10,2
Row 467,468,8,7
Row 468,469,10,4
Row 469,470,9,4
Row 470,471,10,2
Row 471,472,7,4
Row 472,473,10,2
Row 473,474,9,3
Row 474,475,10,2
Row 475,476,8,7
Row 476,477,10,4
Row 477,478,9,4
Row 478,479,10,2
Row 479,480,5,4
Row 480,481,10,2
Row 481,482,9,3
Row 482,483,10,2
Row 483,484,8,6
Row 484,485,10,3
Row 485,486,9,4
Row 486,487,10,2
Row 487,488,7,4
Row 488,489,10,2
Row 489,490,9,3
Row 490,491,10,2
Row 491,492,8,8
Row 492,493,10,4
Row 493,494,9,4
Row 494,495,10,2
Row 495,496,6,4
Row 496,497,10,2
Row 497,498,9,3
Row 498,499,10,2
Row 499,500,8,6
Row 500,501,10,3
Row 501,502,9,4
Row 502,503,10,2
Row 503,504,7,4
Row 504,505,10,2
Row 505,506,9,3
Row 506,507,10,2
Row 507,508,8,6
Row 508,509,10,3
Row 509,510,9,4
Row 510,511,10,2
Row 511,512,1,4
Row 512,513,10,2
Row 513,514,9,3
Row 514,515,10,2
Row 515,516,8,5
Row 516,517,10,3
Row 517,518,9,4
Row 518,519,10,2
Row 519,520,7,4
Row 520,521,10,2
Row 521,522,9,3
Row 522,523,10,2
Row 523,524,8,8
Row 524,525,10,4
Row 525,526,9,4
Row 526,527,10,2
Row 527,528,6,4
Row 528,529,10,2
Row 529,530,9,3
Row 530,531,10,2
Row 531,532,8,6
Row 532,533,10,3
Row 533,534,9,4
Row 534,535,10,2
Row 535,536,7,4
Row 536,537,10,2
Row 537,538,9,3
Row 538,539,10,2
Row 539,540,8,6
Row 540,541,10,3
Row 541,542,9,4
Row 542,543,10,2
Row 543,544,5,4
Row 544,545,10,2
Row 545,546,9,3
Row 546,547,10,2
Row 547,548,8,5
Row 548,549,10,3
Row 549,550,9,4
Row 550,551,10,2
Row 551,552,7,4
Row 552,553,10,2
Row 553,554,9,3
Row 554,555,10,2
Row 555,556,8,7
Row 556,557,10,4
Row 557,558,9,4
Row 558,559,10,2
Row 559,560,6,4
Row 560,561,10,2
Row 561,562,9,3
Row 562,563,10,2
Row 563,564,8,6
Row 564,565,10,3
Row 565,566,9,4
Row 566,567,10,2
Row 567,568,7,4
Row 568,569,10,2
Row 569,570,9,3
Row 570,571,10,2
Row 571,572,8,6
Row 572,573,10,3
Row 573,574,9,4
Row 574,575,10,2
Row 575,576,4,4
Row 576,577,10,2
Row 577,578,9,3
Row 578,579,10,2
Row 579,580,8,5
Row 580,581,10,3
Row 581,582,9,4
Row 582,583,10,2
Row 583,584,7,4
Row 584,585,10,2
Row 585,586,9,3
Row 586,587,10,2
Row 587,588,8,10
Row 588,589,10,5
Row 589,590,9,5
Row 590,591,10,3
Row 591,592,6,5
Row 592,593,10,3
Row 593,594,9,4
Row 594,595,10,2
Row 595,596,8,7
Row 596,597,10,4
Row 597,598,9,4
Row 598,599,10,2
Row 599,600,7,4
Row 600,601,10,2
Row 601,602,9,3
Row 602,603,10,2
Row 603,604,8,7
Row 604,605,10,4
Row 605,606,9,4
Row 606,607,10,2
Row 607,608,5,4
Row 608,609,10,2
Row 609,610,9,3
Row 610,611,10,2
Row 611,612,8,6
Row 612,613,10,3
Row 613,614,9,4
Row 614,615,10,2
Row 615,616,7,4
Row 616,617,10,2
Row 617,618,9,3
Row 618,619,10,2
Row 619,620,8,8
Row 620,621,10,4
Row 621,622,9,4
Row 622,623,10,2
Row 623,624,6,4
Row 624,625,10,2
Row 625,626,9,3
Row 626,627,10,2
Row 627,628,8,6
Row 628,629,10,3
Row 629,630,9,4
Row 630,631,10,2
Row 631,632,7,4
Row 632,633,10,2
Row 633,634,9,3
Row 634,635,10,2
Row 635,636,8,6
Row 636,637,10,3
Row 637,638,9,4
Row 638,639,10,2
Row 639,640,3,4
Row 640,641,10,2
Row 641,642,9,3
Row 642,643,10,2
Row 643,644,8,5
Row 644,645,10,3
Row 645,646,9,4
Row 646,647,10,2
Row 647,648,7,4
Row 648,649,10,2
Row 649,650,9,3
Row 650,651,10,2
Row 651,652,8,8
Row 652,653,10,4
Row 653,654,9,4
Row 654,655,10,2
Row 655,656,6,4
Row 656,657,10,2
Row 657,658,9,3
Row 658,659,10,2
Row 659,660,8,6
Row 660,661,10,3
Row 661,662,9,4
Row 662,663,10,2
Row 663,664,7,4
Row 664,665,10,2
Row 665,666,9,3
Row 666,667,10,2
Row 667,668,8,6
Row 668,669,10,3
Row 669,670,9,4
Row 670,671,10,2
Row 671,672,5,4
Row 672,673,10,2
Row 673,674,9,3
Row 674,675,10,2
Row 675,676,8,5
Row 676,677,10,3
Row 677,678,9,4
Row 678,679,10,2
Row 679,680,7,4
Row 680,681,10,2
Row 681,682,9,3
Row 682,683,10,2
Row 683,684,8,7
Row 684,685,10,4
Row 685,686,9,4
Row 686,687,10,2
Row 687,688,6,4
Row 688,689,10,2
Row 689,690,9,3
Row 690,691,10,2
Row 691,692,8,6
Row 692,693,10,3
Row 693,694,9,4
Row 694,695,10,2
Row 695,696,7,4
Row 696,697,10,2
Row 697,698,9,3
Row 698,699,10,2
Row 699,700,8,6
Row 700,701,10,3
Row 701,702,9,4
Row 702,703,10,2
Row 703,704,4,4
Row 704,705,10,2
Row 705,706,9,3
Row 706,707,10,2
Row 707,708,8,5
Row 708,709,10,3
Row 709,710,9,4
Row 710,711,10,2
Row 711,712,7,4
Row 712,713,10,2
Row 713,714,9,3
Row 714,715,10,2
